timestamp,speed,angle,esc_timestamp,state
7.44,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.5,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.54,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.6,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.64,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.7,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.74,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.8,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.84,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.9,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.94,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
8.0,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
8.04,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
8.1,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
8.14,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
8.2,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
8.24,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
8.3,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
8.34,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
8.41,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
8.44,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
